Cpu,Ram,Gpu,OpSys,Price,Category,Label number
A,2,P,WI,14880,Home User,1
A,2,P,CH,15430,Home User,1
A,2,Q,WI,15430,Home User,1
A,4,P,WI,15733,Home User,1
A,4,P,LI,17369,Home User,1
A,4,P,WI,17757,Home User,1
A,2,P,WI,18532,Home User,1
A,4,P,WI,18997,Home User,1
A,2,P,WI,18997,Home User,1
A,4,P,WI,19300,Home User,1
A,4,P,WI,19307,Home User,1
A,2,P,WI,19307,Home User,1
A,4,P,WI,19307,Home User,1
A,4,P,NO,19568,Home User,1
A,4,P,WI,19773,Home User,1
A,4,P,NO,20005,Home User,1
A,4,P,NO,20083,Home User,1
A,4,P,WI,20160,Home User,1
A,4,P,CH,20548,Home User,1
A,4,P,WI,20548,Home User,1
A,4,P,CH,20858,Home User,1
A,4,P,WI,20858,Home User,1
A,4,P,NO,20984,Home User,1
A,4,P,WI,21246,Home User,1
A,4,P,LI,21316,Home User,1
A,4,P,LI,21323,Home User,1
A,2,P,WI,21324,Home User,1
A,4,Q,WI,21555,Home User,1
A,2,P,WI,21634,Home User,1
A,4,P,WI,22176,Home User,1
A,4,P,NO,22401,Home User,1
A,4,P,WI,22642,Home User,1
A,4,P,CH,22874,Home User,1
A,4,P,CH,23029,Home User,1
A,4,P,WI,23107,Home User,1
A,4,Q,LI,23107,Home User,1
A,4,Q,WI,23107,Home User,1
A,4,P,NO,23184,Home User,1
A,4,P,WI,23184,Home User,1
A,4,P,WI,23184,Home User,1
A,4,P,WI,23184,Home User,1
A,4,P,WI,23572,Home User,1
A,2,P,WI,23607,Home User,1
A,4,P,WI,23727,Home User,1
A,4,P,WI,23960,Home User,1
A,4,Q,NO,23960,Home User,1
A,4,Q,WI,23960,Home User,1
A,4,Q,WI,24658,Home User,1
A,4,P,NO,24967,Home User,1
A,4,P,CH,25201,Home User,2
A,8,P,NO,25511,Home User,2
A,4,P,WI,25511,Home User,2
A,2,P,CH,25588,Home User,2
A,4,Q,WI,25588,Home User,2
A,4,P,WI,26364,Home User,2
A,4,P,WI,26674,Home User,2
A,4,P,WI,26674,Home User,2
